prov,prov.code,cat,cat.code,ntb,rntb,output,t.intermediate,d.intermediate,f.intermediate,prop.domestic,prop.foreign,final.demand,d.final.demand,f.final.demand,prop.dfinal.demand,prop.ffinal.demand,output.multipler,income.multiplier,Longitude,Latitude
Aceh,11,"Pertanian, Kehutanan, dan Perikanan",A,35611222.83,76.89118682,46313790.05,23502236.89,13941184.2,9561052.688,59.31854174,40.68145826,22811553.18,17876326.8,4935226.376,78.36523301,21.63476699,1.379995891,0.6138878,96.91027945,4.22509668
Sumatera Utara,12,"Pertanian, Kehutanan, dan Perikanan",A,100746298.6,74.8001839,134687233.8,85346902.06,75263047.53,10083854.53,88.18486168,11.81513832,49340331.8,40057208.52,9283123.279,81.18552725,18.81447275,1.377159789,0.633526218,99.05313963,2.191911497
Sumatera Barat,13,"Pertanian, Kehutanan, dan Perikanan",A,42711120.54,79.79917188,53523262.88,28711165.19,15970966.16,12740199.02,55.62632537,44.37367463,24812097.7,17679006.87,7133090.833,71.25156075,28.74843925,1.310256552,0.517522791,100.4670978,-0.850661763
Riau,14,"Pertanian, Kehutanan, dan Perikanan",A,119299100.5,87.99556423,135573993.5,117159039.5,115610727.5,1548311.992,98.67845281,1.321547188,18414953.97,16939429.55,1475524.422,91.98735753,8.012642466,1.165663439,0.887985033,101.8077951,0.512724401
Jambi,15,"Pertanian, Kehutanan, dan Perikanan",A,35875386.22,80.23979586,44710216.21,29904969.48,20610683.45,9294286.03,68.92059683,31.07940317,14805246.74,11398206.13,3407040.613,76.98761343,23.01238657,1.315724674,0.621190759,102.7198055,-1.69841836
Sumatera Selatan,16,"Pertanian, Kehutanan, dan Perikanan",A,70323239.95,78.00183231,90155882.06,59242822.69,38621180.57,20621642.12,65.19132414,34.80867586,30913059.38,26133114.7,4779944.679,84.53745836,15.46254164,1.363918809,0.686916376,104.1706918,-3.213534671
Bengkulu,17,"Pertanian, Kehutanan, dan Perikanan",A,14796010.81,74.1949421,19942074.75,10135323.05,4794613.979,5340709.069,47.30598084,52.69401916,9806751.705,5090944.628,4715807.077,51.91264938,48.08735062,1.414310693,0.436837118,102.3367483,-3.552577849
Lampung,18,"Pertanian, Kehutanan, dan Perikanan",A,73031761.49,83.22468763,87752521,50468799.67,39831610.44,10637189.24,78.92323712,21.07676288,37283721.33,19658155.06,17625566.27,52.72583949,47.27416051,1.235565335,0.519545626,105.0200991,-4.917491243
Kep. Bangka Belitung,19,"Pertanian, Kehutanan, dan Perikanan",A,13558757.78,82.22815303,16489191.69,7634644.777,6751830.45,882814.3279,88.43673342,11.56326658,8854546.917,7014815.461,1839731.456,79.22274879,20.77725121,1.25150639,0.62513967,106.1168804,-2.131228644
Kep. Riau,21,"Pertanian, Kehutanan, dan Perikanan",A,8932774.371,77.63562575,11506024.82,4496472.38,4183991.259,312481.1211,93.05052729,6.949472711,7009552.444,5338968.312,1670584.132,76.16703569,23.83296431,1.182132327,0.468358118,104.4478,0.2726
DKI Jakarta,31,"Pertanian, Kehutanan, dan Perikanan",A,4120959.256,79.44816699,5186978.393,790515.2028,781621.522,8893.680813,98.87495133,1.125048675,4396463.191,1786382.896,2610080.295,40.63227232,59.36772768,1.243664953,0.35299637,106.8343863,-6.200344668
Jawa Barat,32,"Pertanian, Kehutanan, dan Perikanan",A,136522918.3,80.60129815,169380545.3,99083242.4,91088330.59,7994911.807,91.93111609,8.068883914,70297302.89,59293889.54,11003413.35,84.34731789,15.65268211,1.292090837,0.620409743,107.6027967,-6.919979148
Jawa Tengah,33,"Pertanian, Kehutanan, dan Perikanan",A,142114104.3,74.39133547,191035828.9,121181879.4,102966447.3,18215432.1,84.96851824,15.03148176,69853949.51,49935202.07,19918747.44,71.48515212,28.51484788,1.400598179,0.643829856,110.2006155,-7.259385804
DI Yogyakarta,34,"Pertanian, Kehutanan, dan Perikanan",A,13900053.07,80.33909304,17301730.13,10993695.37,9077579.383,1916115.986,82.57077423,17.42922577,6308034.761,5518009.271,790025.4907,87.47588559,12.52411441,1.318508431,0.402865019,110.4458011,-7.894951761
Jawa Timur,35,"Pertanian, Kehutanan, dan Perikanan",A,221305292.5,79.5035206,278359110.2,158352295.9,114717283.9,43635011.96,72.44434524,27.55565476,120006814.3,76757588.06,43249226.23,63.96102464,36.03897536,1.289076894,0.90098775,112.7335372,-7.719505644
