OBJECTID,PROVINSI,Shape_Leng,Shape_Area
"1",ACEH,27.45578615180,4.62543601711
"2",BALI,6.02664625839,0.45871702294
"3",BANTEN,9.28222764266,0.76491114763
"4",BENGKULU,11.70636685770,1.63012891744
"5",DAERAH ISTIMEWA YOGYAKARTA,3.34289181282,0.26012974709
"6",DKI JAKARTA,3.12368876768,0.05342566794
"7",GORONTALO,11.01323733550,0.97759999802
"8",JAMBI,11.83507186600,3.97771123809
"9",JAWA BARAT,11.61494981440,3.03278484184
"10",JAWA TENGAH,15.45634885440,2.81983778812
"11",JAWA TIMUR,33.57128369510,3.93831997547
"12",KALIMANTAN BARAT,39.64367794930,11.96283003630
"13",KALIMANTAN SELATAN,26.45093522480,2.98987867407
"14",KALIMANTAN TENGAH,23.24200409270,12.53113927730
"15",KALIMANTAN TIMUR,58.19515337330,10.26077516200
"16",KALIMANTAN UTARA,41.71711544860,5.69268584313
"17",KEPULAUAN BANGKA BELITUNG,20.10084222610,1.35849169279
"18",KEPULAUAN RIAU,66.54086402490,0.67068227141
"19",LAMPUNG,15.09305776050,2.73978211766
"20",MALUKU,90.30689507120,3.76872622093
"21",MALUKU UTARA,59.76581285810,2.56046291743
"22",NUSA TENGGARA BARAT,26.91622395090,1.61571267083
"23",NUSA TENGGARA TIMUR,52.34642260260,3.82286985680
"24",PAPUA,63.86287007510,25.60771523520
"25",PAPUA BARAT,74.47466066870,8.01079911225
"26",RIAU,34.13019584330,7.29705045879
"27",SULAWESI BARAT,10.62026191740,1.34735306216
"28",SULAWESI SELATAN,30.28419467120,3.70191977894
"29",SULAWESI TENGAH,61.10058698930,4.97127801673
"30",SULAWESI TENGGARA,38.52687239820,2.97923885433
"31",SULAWESI UTARA,22.63911483380,1.18026159549
"32",SUMATERA BARAT,27.73485111750,3.43111853963
"33",SUMATERA SELATAN,20.46461974080,7.07617885661
"34",SUMATERA UTARA,28.92855135280,5.88039293464
