prov,Shape_Leng,Shape_Area,Longitude,Latitude
Aceh,27.45578615,4.625436017,96.91027945,4.22509668
Bali,6.026646258,0.458717023,115.1318571,-8.369557132
Banten,9.282227643,0.764911148,106.1088266,-6.456251695
Bengkulu,11.70636686,1.630128917,102.3367483,-3.552577849
DI Yogyakarta,3.342891813,0.260129747,110.4458011,-7.894951761
DKI Jakarta,3.123688768,0.053425668,106.8343863,-6.200344668
Gorontalo,11.01323734,0.977599998,122.3760457,0.686823511
Jambi,11.83507187,3.977711238,102.7198055,-1.69841836
Jawa Barat,11.61494981,3.032784842,107.6027967,-6.919979148
Jawa Tengah,15.45634885,2.819837788,110.2006155,-7.259385804
Jawa Timur,33.5712837,3.938319975,112.7335372,-7.719505644
Kalimantan Barat,39.64367795,11.96283004,111.1255716,-0.084427918
Kalimantan Selatan,26.45093522,2.989878674,115.4406288,-3.012173998
Kalimantan Tengah,23.24200409,12.53113928,113.4248106,-1.603938718
Kalimantan Timur,58.19515337,10.26077516,116.474304,0.465384018
Kalimantan Utara,41.71711545,5.692685843,116.2159407,2.894945863
Kep. Bangka Belitung,20.10084223,1.358491693,106.555911,-2.449788866
Kep. Riau,66.54086402,0.670682271,105.4077656,1.482627732
Lampung,15.09305776,2.739782118,105.0200991,-4.917491243
Maluku,90.30689507,3.768726221,129.841288,-4.737699751
Maluku Utara,59.76581286,2.560462917,127.53991,0.210421941
Nusa Tenggara Barat,26.91622395,1.615712671,117.5074761,-8.606677483
Nusa Tenggara Timur,52.3464226,3.822869857,122.1815389,-9.259999024
Papua,63.86287008,25.60771524,138.6929483,-4.665475723
Papua Barat,74.47466067,8.010799112,132.9680313,-2.037937038
Riau,34.13019584,7.297050459,101.8077951,0.512724401
Sulawesi Barat,10.62026192,1.347353062,119.3440829,-2.46158015
Sulawesi Selatan,30.28419467,3.701919779,120.1610902,-3.73225879
Sulawesi Tengah,61.10058699,4.971278017,121.2023344,-1.003953326
Sulawesi Tenggara,38.5268724,2.979238854,122.0705427,-4.124537807
Sulawesi Utara,22.63911483,1.180261595,124.5234767,1.261813368
Sumatera Barat,27.73485112,3.43111854,100.4670978,-0.850661763
Sumatera Selatan,20.46461974,7.076178857,104.1706918,-3.213534671
Sumatera Utara,28.92855135,5.880392935,99.05313963,2.191911497
